# #otype, maturity, strike, price 
# #All options have maturity June 21
1,0.3726027397260274,155,20.49
1,0.3726027397260274,160,17.05
1,0.3726027397260274,165,13.84
1,0.3726027397260274,170,11.00
1,0.3726027397260274,175,8.60
1,0.3726027397260274,180,6.50
1,0.3726027397260274,185,4.80
1,0.3726027397260274,190,3.48
